,Country,Region,Year,Rank,Score,Economy,Family,Health,Freedom,Generosity,Corruption
101,Tunisia,Middle East and Northern Africa,2017,102,4.80499982833862,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844
110,Tunisia,Middle East and Northern Africa,2018,111,4.592,0.9,0.906,0.69,0.271,0.04,0.063
123,Tunisia,Middle East and Northern Africa,2019,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055
75,Turkey,Middle East and Northern Africa,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746
77,Turkey,Middle East and Northern Africa,2016,78,5.389,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348
68,Turkey,Middle East and Northern Africa,2017,69,5.5,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037
73,Turkey,Middle East and Northern Africa,2018,74,5.483,1.148,1.38,0.686,0.324,0.106,0.109
78,Turkey,Middle East and Northern Africa,2019,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106
69,Turkmenistan,Central and Eastern Europe,2015,70,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844
64,Turkmenistan,Central and Eastern Europe,2016,65,5.658,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467
58,Turkmenistan,Central and Eastern Europe,2017,59,5.82200002670288,1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239
67,Turkmenistan,Central and Eastern Europe,2018,68,5.636,1.016,1.533,0.517,0.417,0.199,0.037
86,Turkmenistan,Central and Eastern Europe,2019,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028
140,Uganda,Sub-Saharan Africa,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267
145,Uganda,Sub-Saharan Africa,2016,145,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442
132,Uganda,Sub-Saharan Africa,2017,133,4.08099985122681,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738
134,Uganda,Sub-Saharan Africa,2018,135,4.161,0.322,1.09,0.237,0.45,0.259,0.061
135,Uganda,Sub-Saharan Africa,2019,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06
110,Ukraine,Central and Eastern Europe,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961
122,Ukraine,Central and Eastern Europe,2016,123,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829
131,Ukraine,Central and Eastern Europe,2017,132,4.09600019454956,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546
137,Ukraine,Central and Eastern Europe,2018,138,4.103,0.793,1.413,0.609,0.163,0.187,0.011
132,Ukraine,Central and Eastern Europe,2019,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01
19,United Arab Emirates,Middle East and Northern Africa,2015,20,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
27,United Arab Emirates,Middle East and Northern Africa,2016,28,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561
20,United Arab Emirates,Middle East and Northern Africa,2017,21,6.64799976348877,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537
19,United Arab Emirates,Middle East and Northern Africa,2018,20,6.774,2.096,0.776,0.67,0.284,0.186,0.11200000000000002
20,United Arab Emirates,Middle East and Northern Africa,2019,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182
20,United Kingdom,Western Europe,2015,21,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
22,United Kingdom,Western Europe,2016,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399
18,United Kingdom,Western Europe,2017,19,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662
10,United Kingdom,Western Europe,2018,11,7.19,1.244,1.433,0.888,0.464,0.262,0.082
14,United Kingdom,Western Europe,2019,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278
14,United States,North America,2015,15,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
12,United States,North America,2016,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868
13,United States,North America,2017,14,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476
17,United States,North America,2018,18,6.886,1.398,1.471,0.819,0.547,0.291,0.133
18,United States,North America,2019,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128
31,Uruguay,Latin America and Caribbean,2015,32,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
28,Uruguay,Latin America and Caribbean,2016,29,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394
27,Uruguay,Latin America and Caribbean,2017,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718
30,Uruguay,Latin America and Caribbean,2018,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155
32,Uruguay,Latin America and Caribbean,2019,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15
43,Uzbekistan,Central and Eastern Europe,2015,44,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826
48,Uzbekistan,Central and Eastern Europe,2016,49,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333
46,Uzbekistan,Central and Eastern Europe,2017,47,5.97100019454956,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929
43,Uzbekistan,Central and Eastern Europe,2018,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259
40,Uzbekistan,Central and Eastern Europe,2019,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24
22,Venezuela,Latin America and Caribbean,2015,23,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
43,Venezuela,Latin America and Caribbean,2016,44,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304
81,Venezuela,Latin America and Caribbean,2017,82,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443
101,Venezuela,Latin America and Caribbean,2018,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052
107,Venezuela,Latin America and Caribbean,2019,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047
74,Vietnam,Southeastern Asia,2015,75,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441
95,Vietnam,Southeastern Asia,2016,96,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556
93,Vietnam,Southeastern Asia,2017,94,5.07399988174438,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987
94,Vietnam,Southeastern Asia,2018,95,5.103,0.715,1.365,0.702,0.618,0.177,0.079
93,Vietnam,Southeastern Asia,2019,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073
135,Yemen,Middle East and Northern Africa,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854
146,Yemen,Middle East and Northern Africa,2016,147,3.724,0.57939,0.47493,0.31048,0.2287,0.09821,0.05892
145,Yemen,Middle East and Northern Africa,2017,146,3.59299993515015,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887
151,Yemen,Middle East and Northern Africa,2018,152,3.355,0.442,1.073,0.343,0.244,0.083,0.064
150,Yemen,Middle East and Northern Africa,2019,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077
84,Zambia,Sub-Saharan Africa,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468
105,Zambia,Sub-Saharan Africa,2016,106,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479
115,Zambia,Sub-Saharan Africa,2017,116,4.51399993896484,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944
124,Zambia,Sub-Saharan Africa,2018,125,4.377,0.562,1.047,0.295,0.503,0.221,0.082
137,Zambia,Sub-Saharan Africa,2019,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087
114,Zimbabwe,Sub-Saharan Africa,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079
130,Zimbabwe,Sub-Saharan Africa,2016,131,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582
137,Zimbabwe,Sub-Saharan Africa,2017,138,3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219
143,Zimbabwe,Sub-Saharan Africa,2018,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099
145,Zimbabwe,Sub-Saharan Africa,2019,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089
